Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C182 Postcode 2011 to Statistical Area Level 3 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 31 July 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA3_CODE_2011,SA3_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2143,2143,11901,Bankstown,0.3647352,36.4735185,,,,,,,
2143,2143,12501,Auburn,0.6352648,63.5264815,,,,,,,
2144,2144,12501,Auburn,1.0,100.0,,,,,,,
2145,2145,12503,Merrylands - Guildford,0.4060767,40.6076684,,,,,,,
2145,2145,12504,Parramatta,0.5939233,59.3923313,,,,,,,
2146,2146,11601,Blacktown,0.3778978,37.7897809,,,,,,,
2146,2146,12504,Parramatta,0.6221022,62.2102191,,,,,,,
2147,2147,11601,Blacktown,1.0,100.0,,,,,,,
2148,2148,11601,Blacktown,0.9997753,99.9775322,,,,,,,
2148,2148,11603,Mount Druitt,0.0001865,0.0186488,,,,,,,
2150,2150,12502,Carlingford,0.0004375,0.0437504,,,,,,,
2150,2150,12503,Merrylands - Guildford,0.0006227,0.0622684,,,,,,,
2150,2150,12504,Parramatta,0.9989398,99.8939812,,,,,,,
2151,2151,12502,Carlingford,0.0018281,0.1828086,,,,,,,
2151,2151,12504,Parramatta,0.9981719,99.8171908,,,,,,,
2152,2152,12504,Parramatta,1.0,100.0,,,,,,,
2153,2153,11501,Baulkham Hills,0.7608347,76.083473,,,,,,,
2153,2153,11601,Blacktown,0.0155731,1.5573074,,,,,,,
2153,2153,11602,Blacktown - North,0.0012223,0.1222311,,,,,,,
2153,2153,12504,Parramatta,0.2223699,22.2369885,,,,,,,
2154,2154,11501,Baulkham Hills,1.0,100.0,,,,,,,
2155,2155,11501,Baulkham Hills,0.4226804,42.2680411,,,,,,,
2155,2155,11504,Rouse Hill - McGraths Hill,0.3770267,37.7026664,,,,,,,
2155,2155,11602,Blacktown - North,0.2002929,20.0292925,,,,,,,
2156,2156,11501,Baulkham Hills,0.4936862,49.3686192,,,,,,,
2156,2156,11502,Dural - Wisemans Ferry,0.5063138,50.6313808,,,,,,,
2157,2157,11502,Dural - Wisemans Ferry,1.0,100.0,,,,,,,
2158,2158,11502,Dural - Wisemans Ferry,1.0,100.0,,,,,,,
2159,2159,11502,Dural - Wisemans Ferry,1.0,100.0,,,,,,,
2160,2160,12503,Merrylands - Guildford,0.9999997,99.9999706,,,,,,,
2161,2161,12503,Merrylands - Guildford,1.0,100.0,,,,,,,
2162,2162,12503,Merrylands - Guildford,1.0,100.0,,,,,,,
2163,2163,11901,Bankstown,0.3611973,36.1197315,,,,,,,
2163,2163,12503,Merrylands - Guildford,0.6388027,63.8802685,,,,,,,
2164,2164,12503,Merrylands - Guildford,0.0728215,7.2821517,,,,,,,
