variable,value,freq,unweighted,weighted,diff
Q352_71,1,25,1.205981669,1.234409119,-0.02842745
Q352_71,2,79,3.810902074,3.832596305,-0.021694231
Q352_71,3,170,8.20067535,8.226353363,-0.025678013
Q352_71,4,288,13.89290883,14.01185263,-0.118943797
Q352_71,5,647,31.2108056,31.18412065,0.026684947
Q352_71,6,795,38.35021708,38.09197747,0.258239602
Q352_71,7,69,3.328509407,3.418690465,-0.090181058
Q353_72,1,75,3.617945007,3.62940877,-0.011463763
Q353_72,2,418,20.16401351,20.28084477,-0.116831267
Q353_72,3,696,33.57452967,33.57491618,-0.000386514
Q353_72,4,281,13.55523396,13.57591557,-0.020681607
Q353_72,5,138,6.657018813,6.584866167,0.072152646
Q353_72,6,401,19.34394597,19.22256566,0.121380314
Q353_72,7,64,3.087313073,3.131482883,-0.04416981
Q353_73,1,94,4.534491076,4.631740692,-0.097249616
Q353_73,2,565,27.25518572,27.26000581,-0.004820088
Q353_73,3,660,31.83791606,31.92442897,-0.086512904
Q353_73,4,229,11.04679209,11.03287849,0.013913602
Q353_73,5,121,5.836951278,5.78888487,0.048066408
Q353_73,6,333,16.06367583,15.85863442,0.205041408
Q353_73,7,71,3.42498794,3.50342675,-0.07843881
Q428_106,1,151,7.284129281,7.33361886,-0.049489579
Q428_106,2,405,19.53690304,19.33637753,0.200525513
Q428_106,3,613,29.57067053,29.66294124,-0.092270713
Q428_106,4,466,22.47949831,22.32023026,0.159268055
Q428_106,5,242,11.67390256,11.69019093,-0.016288372
Q428_106,6,150,7.235890014,7.372339991,-0.136449976
Q428_106,7,46,2.219006271,2.284301199,-0.065294928
Q428_107,1,137,6.608779547,6.75706152,-0.148281974
Q428_107,2,449,21.65943078,21.34266682,0.316763959
Q428_107,3,519,25.03617945,24.960812,0.075367452
Q428_107,4,501,24.16787265,24.1604798,0.007392844
Q428_107,5,222,10.70911722,10.76108818,-0.051970958
Q428_107,6,202,9.744331886,9.902091147,-0.157759261
Q428_107,7,43,2.074288471,2.115800533,-0.041512062
Q428_108,1,96,4.630969609,4.763328967,-0.132359357
