Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C184 Postcode 2011 to Statistical Local Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SLA_MAINCODE_2011,SLA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2037,2037,105057206,Sydney (C) - West,1.0,100.0,,,,,,,
2038,2038,105054800,Leichhardt (A),0.9895244,98.9524441,,,,,,,
2038,2038,105057206,Sydney (C) - West,0.0104756,1.0475559,,,,,,,
2039,2039,105054800,Leichhardt (A),1.0,100.0,,,,,,,
2040,2040,105054800,Leichhardt (A),0.9999328,99.9932841,,,,,,,
2041,2041,105054800,Leichhardt (A),1.0,100.0,,,,,,,
2042,2042,105055200,Marrickville (A),0.6098446,60.9844649,,,,,,,
2042,2042,105057205,Sydney (C) - South,0.3901554,39.0155351,,,,,,,
2043,2043,105057205,Sydney (C) - South,1.0,100.0,,,,,,,
2044,2044,105055200,Marrickville (A),0.9973827,99.7382675,,,,,,,
2044,2044,105057205,Sydney (C) - South,0.0026173,0.2617325,,,,,,,
2045,2045,105054800,Leichhardt (A),0.0038315,0.3831495,,,,,,,
2045,2045,105350150,Ashfield (A),0.9961685,99.6168505,,,,,,,
2046,2046,105351524,Canada Bay (A) - Drummoyne,1.0,99.9999993,,,,,,,
2047,2047,105351524,Canada Bay (A) - Drummoyne,1.0,100.0,,,,,,,
2048,2048,105054800,Leichhardt (A),0.0005228,0.0522846,,,,,,,
2048,2048,105055200,Marrickville (A),0.9994772,99.9477154,,,,,,,
2049,2049,105055200,Marrickville (A),1.0,100.0,,,,,,,
2050,2050,105055200,Marrickville (A),0.4017046,40.1704588,,,,,,,
2050,2050,105057206,Sydney (C) - West,0.5982954,59.8295412,,,,,,,
2052,2052,105106550,Randwick (C),1.0,100.0,,,,,,,
2060,2060,105555950,North Sydney (A),1.0,100.0,,,,,,,
2061,2061,105555950,North Sydney (A),1.0,100.0,,,,,,,
2062,2062,105555950,North Sydney (A),1.0,100.0,,,,,,,
2063,2063,105558250,Willoughby (C),1.0,100.0,,,,,,,
2064,2064,105558250,Willoughby (C),1.0,100.0,,,,,,,
2065,2065,105554700,Lane Cove (A),0.2313391,23.1339128,,,,,,,
2065,2065,105555950,North Sydney (A),0.4905261,49.0526068,,,,,,,
2065,2065,105558250,Willoughby (C),0.2781348,27.8134803,,,,,,,
2066,2066,105554700,Lane Cove (A),0.9144048,91.4404839,,,,,,,
2066,2066,105558250,Willoughby (C),0.0855952,8.5595161,,,,,,,
2067,2067,105556700,Ryde (C),0.0145293,1.4529297,,,,,,,
2067,2067,105558250,Willoughby (C),0.9854707,98.5470703,,,,,,,
2068,2068,105558250,Willoughby (C),1.0,100.0,,,,,,,
2069,2069,105558250,Willoughby (C),0.3604206,36.0420594,,,,,,,
2069,2069,105604500,Ku-ring-gai (A),0.6395794,63.9579406,,,,,,,
2070,2070,105604500,Ku-ring-gai (A),1.0,100.0,,,,,,,
2071,2071,105604500,Ku-ring-gai (A),1.0,100.0,,,,,,,
2072,2072,105604500,Ku-ring-gai (A),1.0,100.0,,,,,,,
2073,2073,105604500,Ku-ring-gai (A),1.0,100.0,,,,,,,
2074,2074,105604500,Ku-ring-gai (A),1.0,99.9999995,,,,,,,
2075,2075,105604500,Ku-ring-gai (A),1.0,100.0,,,,,,,
2076,2076,105604004,Hornsby (A) - South,0.3939711,39.3971096,,,,,,,
2076,2076,105604500,Ku-ring-gai (A),0.6060289,60.6028904,,,,,,,
2077,2077,105604001,Hornsby (A) - North,0.2657068,26.5706814,,,,,,,
2077,2077,105604004,Hornsby (A) - South,0.7342932,73.4293186,,,,,,,
2079,2079,105604001,Hornsby (A) - North,1.0,100.0,,,,,,,
2080,2080,105604001,Hornsby (A) - North,1.0,100.0,,,,,,,
2081,2081,105604001,Hornsby (A) - North,1.0,100.0,,,,,,,
2082,2082,105604001,Hornsby (A) - North,1.0,100.0,,,,,,,
2083,2083,105604001,Hornsby (A) - North,0.6752439,67.524393,,,,,,,
2083,2083,105703104,Gosford (C) - West,0.3247561,32.475607,,,,,,,
2084,2084,105656370,Pittwater (A),0.0043358,0.4335843,,,,,,,
2084,2084,105658000,Warringah (A),0.9956642,99.5664157,,,,,,,
2085,2085,105658000,Warringah (A),1.0,99.9999987,,,,,,,
2086,2086,105658000,Warringah (A),1.0,100.0,,,,,,,
2087,2087,105658000,Warringah (A),1.0,100.0,,,,,,,
2088,2088,105555350,Mosman (A),1.0,100.0,,,,,,,
2089,2089,105555950,North Sydney (A),1.0,100.0,,,,,,,
2090,2090,105555950,North Sydney (A),1.0,100.0,,,,,,,
2092,2092,105655150,Manly (A),1.0,100.0,,,,,,,
2093,2093,105655150,Manly (A),0.5764769,57.6476901,,,,,,,
2093,2093,105658000,Warringah (A),0.4235231,42.3523099,,,,,,,
2094,2094,105655150,Manly (A),1.0,100.0,,,,,,,
2095,2095,105655150,Manly (A),1.0,100.0,,,,,,,
2096,2096,105658000,Warringah (A),1.0,100.0,,,,,,,
2097,2097,105658000,Warringah (A),1.0,100.0,,,,,,,
2099,2099,105658000,Warringah (A),1.0,100.0,,,,,,,
2100,2100,105658000,Warringah (A),1.0,100.0,,,,,,,
2101,2101,105656370,Pittwater (A),0.5854513,58.5451316,,,,,,,
2101,2101,105658000,Warringah (A),0.4145487,41.4548684,,,,,,,
2102,2102,105656370,Pittwater (A),1.0,100.0,,,,,,,
2103,2103,105656370,Pittwater (A),1.0,100.0,,,,,,,
2104,2104,105656370,Pittwater (A),1.0,100.0,,,,,,,
2105,2105,105656370,Pittwater (A),1.0,100.0,,,,,,,
2106,2106,105656370,Pittwater (A),1.0,100.0,,,,,,,
2107,2107,105656370,Pittwater (A),1.0,100.0,,,,,,,
2108,2108,105656370,Pittwater (A),1.0,100.0,,,,,,,
2109,2109,105556700,Ryde (C),1.0,100.0,,,,,,,
2110,2110,105554100,Hunters Hill (A),0.9991004,99.9100369,,,,,,,
2110,2110,105556700,Ryde (C),0.0008996,0.0899631,,,,,,,
2111,2111,105554100,Hunters Hill (A),0.2537036,25.3703586,,,,,,,
2111,2111,105556700,Ryde (C),0.7462964,74.6296414,,,,,,,
2112,2112,105556700,Ryde (C),1.0,100.0,,,,,,,
2113,2113,105556700,Ryde (C),1.0,100.0,,,,,,,
2114,2114,105406252,Parramatta (C) - North-East,0.0007655,0.0765535,,,,,,,
2114,2114,105556700,Ryde (C),0.9992345,99.9234465,,,,,,,
2115,2115,105406252,Parramatta (C) - North-East,1.0,100.0,,,,,,,
2116,2116,105406251,Parramatta (C) - Inner,0.0770469,7.7046913,,,,,,,
2116,2116,105406252,Parramatta (C) - North-East,0.9229531,92.2953087,,,,,,,
2117,2117,105406251,Parramatta (C) - Inner,0.0150908,1.5090776,,,,,,,
2117,2117,105406252,Parramatta (C) - North-East,0.7938398,79.3839757,,,,,,,
